year,1-gram,count-sum,count-mean
2023,air,1303,1.748993288590604
2024,united,1288,1.8941176470588235
2022,west,1286,3.582172701949861
2023,do,1274,1.7645429362880887
2023,right,1262,1.929663608562691
2021,we,1258,4.659259259259259
2024,one,1256,2.242857142857143
2023,even,1252,1.743732590529248
2023,president,1246,2.045977011494253
2024,attack,1245,2.505030181086519
2024,since,1245,1.8949771689497716
2023,old,1243,2.0145867098865478
2023,biden,1240,3.701492537313433
2023,camp,1240,2.8054298642533935
2021,this,1239,3.8359133126934983
2023,called,1237,1.5879332477535302
2022,bank,1236,3.4915254237288136
2023,states,1228,1.5763799743260591
2023,most,1227,1.5433962264150944
2021,us,1224,5.275862068965517
2023,conflict,1224,1.8517397881996975
2022,akleh,1223,8.376712328767123
2022,occupied,1213,3.226063829787234
2023,health,1210,2.037037037037037
2021,been,1206,3.526315789473684
2023,those,1206,1.6037234042553192
2022,were,1206,3.526315789473684
2023,statement,1205,1.7931547619047619
2023,you,1198,2.367588932806324
2022,they,1193,3.751572327044025
2024,october,1188,1.8857142857142857
2023,three,1186,1.6180081855388813
2024,told,1185,2.2274436090225564
2023,years,1180,1.742983751846381
2022,who,1172,3.202185792349727
2024,she,1171,4.242753623188406
2024,what,1169,2.164814814814815
2023,jerusalem,1169,2.425311203319502
2023,first,1166,1.6149584487534625
2023,these,1165,1.7598187311178248
2022,we,1162,4.256410256410256
2023,violence,1160,2.0209059233449476
2023,home,1158,2.0568383658969807
2022,us,1155,5.021739130434782
2022,this,1154,3.297142857142857
2024,biden,1140,4.871794871794871
2023,media,1134,1.8439024390243903
2023,arab,1133,2.225933202357564
2021,his,1129,4.342307692307692
2023,ceasefire,1125,2.5568181818181817
2023,like,1121,1.7352941176470589
2023,days,1118,1.5149051490514904
2024,our,1112,2.471111111111111
2023,through,1111,1.6410635155096012
2023,before,1098,1.5313807531380754
2022,killed,1091,3.7363013698630136
2023,just,1087,1.5845481049562682
2022,his,1086,4.129277566539924
2021,may,1082,4.2936507936507935
2022,been,1080,3.016759776536313
2021,be,1080,3.4285714285714284
2023,armed,1066,1.6893819334389857
2024,into,1064,1.9275362318840579
2022,her,1048,5.822222222222222
2023,water,1040,2.180293501048218
2021,but,1040,3.260188087774295
2023,says,1039,1.927643784786642
2024,no,1038,2.0
2024,out,1035,1.9237918215613383
2022,forces,1035,3.4385382059800667
2022,jazeera,1032,3.2555205047318614
2023,officials,1032,1.6150234741784038
2023,killing,1028,1.5623100303951367
2024,them,1027,2.1944444444444446
2023,southern,1024,1.5538694992412747
2023,ground,1019,1.6330128205128205
2023,human,1019,1.8731617647058822
2023,israelis,1019,1.6200317965023847
2024,over,1016,1.8574040219378427
2022,gaza,1014,4.333333333333333
2023,ministry,1011,1.7674825174825175
2024,genocide,1006,3.2038216560509554
2024,state,1005,2.3536299765807964
2023,news,1002,1.513595166163142
2023,because,1001,1.6356209150326797
2022,be,998,2.9526627218934913
2023,added,995,1.4275466284074605
2023,how,982,1.607201309328969
2024,humanitarian,979,2.4292803970223327
2021,people,975,3.018575851393189
2024,other,975,1.908023483365949
2021,jerusalem,973,3.8307086614173227
2023,nations,973,1.3025435073627845
2024,when,970,2.055084745762712
2023,week,967,1.4992248062015503
2023,new,955,1.626916524701874
2021,its,947,3.1254125412541254
2022,their,946,2.9470404984423677
2022,jerusalem,942,3.7086614173228347
2021,who,941,3.0751633986928106
2024,two,940,1.8359375
2024,7,940,1.6906474820143884
2023,him,939,2.2357142857142858
2024,her,937,5.205555555555556
2024,group,933,2.0825892857142856
2024,children,930,2.4603174603174605
2023,law,930,1.9135802469135803
2023,occupation,927,1.8176470588235294
2024,netanyahu,923,3.284697508896797
2024,government,920,2.4468085106382977
2023,far,918,1.4782608695652173
2023,such,917,1.4440944881889763
2021,also,914,2.812307692307692
2023,foreign,912,1.8612244897959183
2024,support,910,2.246913580246914
2023,country,905,1.6575091575091576
2024,ceasefire,903,2.7699386503067487
2021,occupied,903,3.04040404040404
2023,political,901,1.759765625
2023,lebanon,901,3.8504273504273505
2024,my,900,4.66321243523316
2021,which,900,2.719033232628399
2024,now,900,1.7408123791102514
2022,she,899,4.181395348837209
2023,house,896,1.960612691466083
2023,groups,896,1.620253164556962
2023,settlers,895,3.2904411764705883
2024,minister,891,2.146987951807229
2024,t,889,2.267857142857143
2023,enclave,888,1.4874371859296482
2023,south,887,1.8556485355648535
2024,some,887,1.7955465587044535
2022,but,884,2.7974683544303796
2023,abu,884,2.351063829787234
2024,can,881,1.993212669683258
2022,which,881,2.561046511627907
2022,its,878,2.888157894736842
2023,prime,877,1.444810543657331
2024,un,876,2.6953846153846155
2023,thousands,872,1.4248366013071896
2024,rafah,872,3.40625
2023,still,871,1.4444444444444444
2023,say,869,1.4363636363636363
2023,territory,868,1.4539363484087102
2024,while,868,1.778688524590164
2023,end,868,1.5017301038062283
2021,after,867,2.7350157728706623
2021,i,867,4.563157894736842
2023,jenin,866,3.396078431372549
2024,iran,866,5.094117647058823
2023,take,865,1.4110929853181076
2024,including,861,1.764344262295082
2023,bombardment,861,1.3580441640378549
2023,several,861,1.3909531502423262
2023,another,859,1.470890410958904
2021,hamas,857,3.9493087557603688
2024,security,854,2.098280098280098
2023,food,852,1.8362068965517242
2023,refugee,851,1.8183760683760684
2023,soldiers,850,2.0334928229665072
2023,egypt,850,2.073170731707317
2024,so,848,1.7593360995850622
2023,part,846,1.4242424242424243
2023,jewish,843,2.3746478873239436
2023,back,840,1.6091954022988506
